2000-01-01 01:02:25 startup archives unpack
2000-01-01 01:02:26 upgrade libdrm2:armhf 2.4.54-1~linaro1 2.4.56-1~linaro1
2000-01-01 01:02:26 status half-configured libdrm2:armhf 2.4.54-1~linaro1
2000-01-01 01:02:26 status unpacked libdrm2:armhf 2.4.54-1~linaro1
2000-01-01 01:02:26 status half-installed libdrm2:armhf 2.4.54-1~linaro1
2000-01-01 01:02:27 status half-installed libdrm2:armhf 2.4.54-1~linaro1
2000-01-01 01:02:27 status unpacked libdrm2:armhf 2.4.56-1~linaro1
2000-01-01 01:02:27 status unpacked libdrm2:armhf 2.4.56-1~linaro1
2000-01-01 01:02:28 startup packages configure
2000-01-01 01:02:28 configure libdrm2:armhf 2.4.56-1~linaro1 <none>
2000-01-01 01:02:28 status unpacked libdrm2:armhf 2.4.56-1~linaro1
2000-01-01 01:02:28 status half-configured libdrm2:armhf 2.4.56-1~linaro1
2000-01-01 01:02:28 status installed libdrm2:armhf 2.4.56-1~linaro1
2000-01-01 01:02:28 status triggers-pending libc-bin:armhf 2.19-0ubuntu6
2000-01-01 01:02:28 trigproc libc-bin:armhf 2.19-0ubuntu6 <none>
2000-01-01 01:02:28 status half-configured libc-bin:armhf 2.19-0ubuntu6
2000-01-01 01:02:29 status installed libc-bin:armhf 2.19-0ubuntu6
2000-01-01 01:04:09 startup archives unpack
2000-01-01 01:04:10 install libedit2:armhf <none> 3.1-20130712-2
2000-01-01 01:04:10 status half-installed libedit2:armhf 3.1-20130712-2
2000-01-01 01:04:10 status unpacked libedit2:armhf 3.1-20130712-2
2000-01-01 01:04:10 status unpacked libedit2:armhf 3.1-20130712-2
2000-01-01 01:04:11 install libkrb5support0:armhf <none> 1.12+dfsg-2ubuntu4
2000-01-01 01:04:11 status half-installed libkrb5support0:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:04:11 status unpacked libkrb5support0:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:04:11 status unpacked libkrb5support0:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:04:11 install libk5crypto3:armhf <none> 1.12+dfsg-2ubuntu4
2000-01-01 01:04:11 status half-installed libk5crypto3:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:04:11 status unpacked libk5crypto3:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:04:11 status unpacked libk5crypto3:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:04:12 install libkeyutils1:armhf <none> 1.5.6-1
2000-01-01 01:04:12 status half-installed libkeyutils1:armhf 1.5.6-1
2000-01-01 01:04:12 status unpacked libkeyutils1:armhf 1.5.6-1
2000-01-01 01:04:12 status unpacked libkeyutils1:armhf 1.5.6-1
2000-01-01 01:04:13 install libkrb5-3:armhf <none> 1.12+dfsg-2ubuntu4
2000-01-01 01:04:13 status half-installed libkrb5-3:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:04:13 status unpacked libkrb5-3:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:04:13 status unpacked libkrb5-3:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:04:14 install libgssapi-krb5-2:armhf <none> 1.12+dfsg-2ubuntu4
2000-01-01 01:04:14 status half-installed libgssapi-krb5-2:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:04:14 status unpacked libgssapi-krb5-2:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:04:14 status unpacked libgssapi-krb5-2:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:04:15 install libidn11:armhf <none> 1.28-1ubuntu2
2000-01-01 01:04:15 status half-installed libidn11:armhf 1.28-1ubuntu2
2000-01-01 01:04:16 status unpacked libidn11:armhf 1.28-1ubuntu2
2000-01-01 01:04:16 status unpacked libidn11:armhf 1.28-1ubuntu2
2000-01-01 01:04:17 install libxau6:armhf <none> 1:1.0.8-1
2000-01-01 01:04:17 status half-installed libxau6:armhf 1:1.0.8-1
2000-01-01 01:04:17 status unpacked libxau6:armhf 1:1.0.8-1
2000-01-01 01:04:17 status unpacked libxau6:armhf 1:1.0.8-1
2000-01-01 01:04:17 install libxdmcp6:armhf <none> 1:1.1.1-1
2000-01-01 01:04:17 status half-installed libxdmcp6:armhf 1:1.1.1-1
2000-01-01 01:04:17 status unpacked libxdmcp6:armhf 1:1.1.1-1
2000-01-01 01:04:17 status unpacked libxdmcp6:armhf 1:1.1.1-1
2000-01-01 01:04:17 install libxcb1:armhf <none> 1.10-2ubuntu1
2000-01-01 01:04:17 status half-installed libxcb1:armhf 1.10-2ubuntu1
2000-01-01 01:04:18 status unpacked libxcb1:armhf 1.10-2ubuntu1
2000-01-01 01:04:18 status unpacked libxcb1:armhf 1.10-2ubuntu1
2000-01-01 01:04:18 install libx11-data:all <none> 2:1.6.2-1ubuntu2
2000-01-01 01:04:18 status half-installed libx11-data:all 2:1.6.2-1ubuntu2
2000-01-01 01:04:26 status unpacked libx11-data:all 2:1.6.2-1ubuntu2
2000-01-01 01:04:26 status unpacked libx11-data:all 2:1.6.2-1ubuntu2
2000-01-01 01:04:26 install libx11-6:armhf <none> 2:1.6.2-1ubuntu2
2000-01-01 01:04:26 status half-installed libx11-6:armhf 2:1.6.2-1ubuntu2
2000-01-01 01:04:27 status unpacked libx11-6:armhf 2:1.6.2-1ubuntu2
2000-01-01 01:04:27 status unpacked libx11-6:armhf 2:1.6.2-1ubuntu2
